300/10698,6/10696,4/10700,7/10700,7/5927,0/5925,25/5927,0/5925,25
301/10775,3/10778,2/10781,1/10781,1/5678,375/5680,125/5678,375/5680,125
302/10778,2/10783,6/10780,0/10780,0/7305,0/7305,5/7305,0/7305,5
303/10805,7/10807,9/10811,9/10811,9/6263,875/6264,625/6263,875/6264,625
304/10843,7/10845,6/10849,9/10849,9/5770,33333333/5960,125/5770,33333333/5960,125
305/10955,4/10953,3/10952,1/10952,1/7469,33333333/5498,22222222/7469,33333333/5498,22222222
306/10930,9/10932,0/10933,7/10933,7/9199,1/7586,4/9199,1/7586,4
307/10968,2/10971,4/10973,0/10973,0/8917,0/8918,7/8917,0/8918,7
308/11017,6/11017,3/11019,3/11019,3/9846,0/8865,8/9846,0/8865,8
309/11204,3/11204,1/11207,1/11207,1/10117,5555556/10118,2222222/10117,5555556/10118,2222222
310/11259,3/11256,6/11261,1/11261,1/9910,66666667/9910,22222222/9910,66666667/9910,22222222
311/11316,5/11315,1/11314,2/11314,2/11785,25/10481,7777778/11785,25/10481,7777778
312/11331,1/11332,0/11333,3/11333,3/11680,0/10387,1111111/11680,0/10387,1111111
313/11332,6/11336,8/11333,8/11333,8/13339,8571429/11677,25/13339,8571429/11677,25
314/11376,3/11376,6/11372,9/11372,9/13373,8571429/13374,1428571/13373,8571429/13374,1428571
315/11378,6/11375,1/11377,1/11377,1/13674,5714286/13532,8571429/13674,5714286/13532,8571429
316/11402,1/11400,7/11401,0/11401,0/13263,5714286/13406,5714286/13263,5714286/13406,5714286
317/11430,7/11429,7/11429,2/11429,2/13589,5714286/13591,5714286/13589,5714286/13591,5714286
318/11388,4/11385,4/11388,3/11388,3/13812,4285714/13812,8571429/13812,4285714/13812,8571429
319/11378,2/11373,1/11374,2/11374,2/13656,1428571/13656,0/13656,1428571/13656,0
320/11341,6/11343,1/11341,5/11341,5/13633,0/13788,0/13633,0/13788,0
321/11348,9/11350,5/11348,1/11348,1/13195,4285714/13196,2857143/13195,4285714/13196,2857143
322/11386,2/11389,0/11387,8/11387,8/13540,4285714/13541,0/13540,4285714/13541,0
323/11407,8/11406,9/11407,4/11407,4/13264,5714286/13263,7142857/13264,5714286/13263,7142857
324/11458,6/11463,9/11464,1/11464,1/13773,1428571/13631,5714286/13773,1428571/13631,5714286
325/11437,5/11439,3/11443,8/11443,8/13460,1428571/13602,1428571/13460,1428571/13602,1428571
326/11465,6/11467,5/11468,2/11468,2/13473,0/13332,4285714/13473,0/13332,4285714
327/11499,6/11503,8/11505,4/11505,4/13534,8571429/13678,1428571/13534,8571429/13678,1428571
328/11504,7/11507,6/11507,9/11507,9/13687,8571429/13686,8571429/13687,8571429/13686,8571429
329/11538,7/11537,9/11539,4/11539,4/13379,4285714/13377,7142857/13379,4285714/13377,7142857
330/11561,0/11565,2/11569,4/11569,4/14926,5714286/14929,8571429/14926,5714286/14929,8571429
331/11548,8/11551,7/11553,8/11553,8/15931,5714286/15931,5714286/15931,5714286/15931,5714286
332/11522,9/11515,5/11522,7/11522,7/14088,2857143/14087,4285714/14088,2857143/14087,4285714
333/11619,1/11615,9/11623,9/11623,9/13121,5714286/13295,4285714/13121,5714286/13295,4285714
334/9932,7/9927,1/9931,9/9931,9/19226,8/15858,0/19226,8/15858,0
335/2776,9/2782,5/2785,0/2785,0/15372,75/15118,25/15372,75/15118,25
336/50,8/41,6/44,0/44,0/13575,75/13572,75/13575,75/13572,75
337/42,0/56,8/41,5/41,5/11037,2/11041,2/11037,2/11041,2
338/42,0/41,9/40,7/40,7/11296,4/11523,6/11296,4/11523,6
339/42,9/62,9/39,1/39,1/7821,4/9527,2/7821,4/9527,2
340/64,6/61,5/39,9/39,9/7742,66666667/10283,4/7742,66666667/10283,4
341/60,6/50,3/38,1/38,1/7380,33333333/7475,83333333/7380,33333333/7475,83333333
342/48,1/56,2/34,8/34,8/8192,66666667/7372,0/8192,66666667/7372,0
343/40,1/46,3/34,8/34,8/8540,33333333/8397,83333333/8540,33333333/8397,83333333
344/85,5/46,8/40,2/40,2/7424,66666667/7805,66666667/7424,66666667/7805,66666667
345/38,2/44,9/34,1/34,1/12696,6666667/8922,0/12696,6666667/8922,0
346/47,4/205,0/35,3/35,3/10336,1428571/9586,0/10336,1428571/9586,0
347/47,2/46,6/37,3/37,3/9135,875/10349,1428571/9135,875/10349,1428571
348/74,9/55,1/34,9/34,9/9129,125/9048,375/9129,125/9048,375
349/42,6/47,7/49,2/49,2/11935,1428571/9489,25/11935,1428571/9489,25
350/48,6/39,2/36,1/36,1/11930,2857143/11470,4285714/11930,2857143/11470,4285714
351/93,0/53,3/45,6/45,6/12504,0/11783,0/12504,0/11783,0
352/51,7/44,8/38,9/38,9/16527,3333333/13959,5714286/16527,3333333/13959,5714286
353/52,8/45,0/42,9/42,9/19075,6/15672,0/19075,6/15672,0
354/37,8888888889/61,0/41,3/41,3/18955,2/18662,0/18955,2/18662,0
355/43,5555555556/42,4/39,3/39,3/18182,4/17903,2/18182,4/17903,2
356/45,0/42,1/43,7/43,7/20163,8/19859,6/20163,8/19859,6
357/40,4444444444/42,2222222222/41,8/41,8/20125,8/19834,8/20125,8/19834,8
358/41,0/41,2222222222/43,4/43,4/15517,0/15394,6/15517,0/15394,6
359/41,5/38,2222222222/39,8/39,8/23216,2/22912,6/23216,2/22912,6
360/37,375/39,0/43,2/43,2/14798,0/14321,6666667/14798,0/14321,6666667
361/33,1666666667/37,7777777778/41,5/41,5/17969,8333333/18375,6666667/17969,8333333/18375,6666667
362/31,3333333333/41,8888888889/40,6/40,6/15613,4285714/14978,4285714/15613,4285714/14978,4285714
363/30,6666666667/36,1111111111/43,0/43,0/15471,0/15115,0/15471,0/15115,0
364/30,6666666667/35,2857142857/45,5/45,5/17062,2857143/16764,4285714/17062,2857143/16764,4285714
365/30,4/35,1666666667/42,2/42,2/13484,4285714/14088,7142857/13484,4285714/14088,7142857
366/31,4/32,8333333333/42,1/42,1/15958,4285714/15553,4285714/15958,4285714/15553,4285714
367/30,8/30,8333333333/42,0/42,0/14692,0/14335,0/14692,0/14335,0
368/36,0/37,3333333333/48,2/48,2/16705,1428571/16492,5714286/16705,1428571/16492,5714286
369/32,6/30,2/40,9/40,9/18890,8571429/18482,1428571/18890,8571429/18482,1428571
370/29,8/29,6/39,8/39,8/15440,1428571/15252,1428571/15440,1428571/15252,1428571
371/30,4/30,0/42,6/42,6/17019,5714286/16805,2857143/17019,5714286/16805,2857143
372/35,2/38,8/40,1/40,1/17574,1428571/17370,0/17574,1428571/17370,0
373/29,6666666667/34,8/37,5/37,5/18470,1428571/17893,0/18470,1428571/17893,0
374/27,3333333333/34,6/38,0/38,0/15478,8571429/15546,0/15478,8571429/15546,0
375/27,6666666667/39,0/34,9/34,9/15652,4285714/15417,0/15652,4285714/15417,0
376/28,3333333333/29,0/44,4/44,4/12596,4285714/16971,1428571/12596,4285714/16971,1428571
377/24,5/24,25/40,3/40,3/16608,4285714/16242,4285714/16608,4285714/16242,4285714
378/31,5/32,25/45,2/45,2/14675,4285714/14684,5714286/14675,4285714/14684,5714286
379/33,0/29,25/42,3/42,3/12762,1428571/12277,2857143/12762,1428571/12277,2857143
380/31,0/32,0/37,6666666667/37,6666666667/13313,8571429/13346,8571429/13313,8571429/13346,8571429
381/20,5/30,0/33,8888888889/33,8888888889/10752,375/12124,8571429/10752,375/12124,8571429
382/22,0/24,6666666667/37,1111111111/37,1111111111/10666,5/10533,0/10666,5/10533,0
383/27,0/24,3333333333/35,4444444444/35,4444444444/11821,375/11689,125/11821,375/11689,125
384/32/24,3333333333/35,1111111111/35,1111111111/11451,2222222/11971,1111111/11451,2222222/11971,1111111
385/41/23,0/36,7777777778/36,7777777778/8834,33333333/8637,33333333/8834,33333333/8637,33333333
386/40/24,6666666667/33,2222222222/33,2222222222/12836,0/12718,9/12836,0/12718,9
387/30/32,0/28,7777777778/28,7777777778/9853,7/9223,5/9853,7/9223,5
388/19/36,0/32,4444444444/32,4444444444/8789,8/8796,6/8789,8/8796,6
389/22/30,0/32,0/32,0/10049,9/9583,9/10049,9/9583,9
390/34/23,5/32,7777777778/32,7777777778/14080,1/10657,6/14080,1/10657,6
391/33/25,0/33,1111111111/33,1111111111/14021,9/13437,3/14021,9/13437,3
392/13083/24,5/35,5555555556/35,5555555556/17884,7/16853,7/17884,7/16853,7
